filepath;song;artist;year;subset;album
./rs200/1999.lab;1999;Prince;1982.0;rs200;
./rs200/a_change_is_gonna_come.lab;A Change Is Gonna Come;Sam Cooke;1964.0;rs200;
./rs200/a_day_in_the_life.lab;A Day in the Life;The Beatles;1967.0;rs200;
./rs200/a_hard_days_night.lab;A Hard Day's Night;The Beatles;1964.0;rs200;
./rs200/a_whiter_shade_of_pale.lab;A Whiter Shade of Pale;Procol Harum;1967.0;rs200;
./rs200/all_along_the_watchtower.lab;All Along the Watchtower;The Jimi Hendrix Experience;1968.0;rs200;
./rs200/all_apologies.lab;All Apologies;Nirvana;1993.0;rs200;
./rs200/all_i_have_to_do_is_dream.lab;All I Have to Do Is Dream;The Everly Brothers;1958.0;rs200;
./rs200/anarchy_in_the_uk.lab;Anarchy in the U.K.;Sex Pistols;1977.0;rs200;
./rs200/back_in_black.lab;Back in Black;AC/DC;1980.0;rs200;
./rs200/be_my_baby.lab;Be My Baby;The Ronettes;1963.0;rs200;
./rs200/be-bop-a-lula.lab;Be-Bop-A-Lula;Gene Vincent;1956.0;rs200;
./rs200/billie_jean.lab;Billie Jean;Michael Jackson;1983.0;rs200;
./rs200/bitter_sweet_symphony.lab;Bitter Sweet Symphony;The Verve;1997.0;rs200;
./rs200/bizarre_love_triangle.lab;Bizarre Love Triangle;New Order;1986.0;rs200;
./rs200/blitzkrieg_bop.lab;Blitzkrieg Bop;The Ramones;1976.0;rs200;
./rs200/blowin_in_the_wind.lab;Blowin' in the Wind;Bob Dylan;1963.0;rs200;
./rs200/blue_suede_shoes_perkins.lab;Blue Suede Shoes;Carl Perkins;1956.0;rs200;
./rs200/blueberry_hill.lab;Blueberry Hill;Fats Domino;1956.0;rs200;
./rs200/bo_diddley.lab;Bo Diddley;Bo Diddley;1955.0;rs200;
./rs200/bohemian_rhapsody.lab;Bohemian Rhapsody;Queen;1975.0;rs200;
./rs200/born_to_be_wild.lab;Born To Be Wild;Steppenwolf;1968.0;rs200;
./rs200/born_to_run.lab;Born to Run;Bruce Springsteen;1975.0;rs200;
./rs200/both_sides_now.lab;Both Sides Now;Joni Mitchell;1969.0;rs200;
./rs200/bridge_over_troubled_water.lab;Bridge over Troubled Water;Simon and Garfunkel;1970.0;rs200;
./rs200/bring_the_noise.lab;Bring the Noise;Public Enemy;1988.0;rs200;
./rs200/brown_eyed_girl.lab;Brown Eyed Girl;Van Morrison;1967.0;rs200;
./rs200/california_dreamin.lab;California Dreamin';The Mamas & the Papas;1965.0;rs200;
./rs200/california_girls.lab;California Girls;The Beach Boys;1965.0;rs200;
./rs200/california_love.lab;California Love;Dr. Dre and 2Pac;1996.0;rs200;
./rs200/cathys_clown.lab;Cathy's Clown;The Everly Brothers;1960.0;rs200;
./rs200/changes.lab;Changes;David Bowie;1971.0;rs200;
./rs200/come_as_you_are.lab;Come As You Are;Nirvana;1991.0;rs200;
./rs200/crazy.lab;Crazy;Patsy Cline;1961.0;rs200;
./rs200/crying.lab;Crying;Roy Orbison;1961.0;rs200;
./rs200/da_doo_ron_ron.lab;Da Doo Ron Ron;The Crystals;1963.0;rs200;
./rs200/dancing_in_the_street.lab;Dancing in the Street;Martha and the Vandellas;1964.0;rs200;
./rs200/dancing_queen.lab;Dancing Queen;Abba;1976.0;rs200;
./rs200/dont_worry_baby.lab;Don't Worry Baby;The Beach Boys;1964.0;rs200;
./rs200/dream_on.lab;Dream On;Aerosmith;1973.0;rs200;
./rs200/earth_angel.lab;Earth Angel;The Penguins;1954.0;rs200;
./rs200/eight_miles_high.lab;Eight Miles High;The Byrds;1966.0;rs200;
./rs200/eleanor_rigby.lab;Eleanor Rigby;The Beatles;1966.0;rs200;
./rs200/enter_sandman.lab;Enter Sandman;Metallica;1991.0;rs200;
./rs200/every_breath_you_take.lab;Every Breath You Take;The Police;1983.0;rs200;
./rs200/everyday_people.lab;Everyday People;Sly and the Family Stone;1968.0;rs200;
./rs200/fake_plastic_trees.lab;Fake Plastic Trees;Radiohead;1995.0;rs200;
./rs200/family_affair.lab;Family Affair;Sly and the Family Stone;1971.0;rs200;
./rs200/fast_car.lab;Fast Car;Tracy Chapman;1988.0;rs200;
./rs200/folsom_prison_blues.lab;Folsom Prison Blues;Johnny Cash;1956.0;rs200;
./rs200/for_what_its_worth.lab;For What It's Worth;Buffalo Springfield;1967.0;rs200;
./rs200/fortunate_son.lab;Fortunate Son;Creedence Clearwater Revival;1969.0;rs200;
./rs200/foxey_lady.lab;Foxey Lady;The Jimi Hendrix Experience;1965.0;rs200;
./rs200/free_fallin.lab;Free Fallin';Tom Petty;1989.0;rs200;
./rs200/georgia_on_my_miind.lab;Georgia on My Miind;Ray Charles;1960.0;rs200;
./rs200/gimme_shelter.lab;Gimme Shelter;The Rolling Stones;1969.0;rs200;
./rs200/go_your_own_way.lab;Go Your Own Way;Fleetwood Mac;1977.0;rs200;
./rs200/god_only_knows.lab;God Only Knows;The Beach Boys;1966.0;rs200;
./rs200/god_save_the_queen.lab;God Save the Queen;The Sex Pistols;1977.0;rs200;
./rs200/good_golly_miss_molly.lab;Good Golly, Miss Molly;Little Richard;1958.0;rs200;
./rs200/good_vibrations.lab;Good Vibrations;The Beach Boys;1966.0;rs200;
./rs200/great_balls_of_fire.lab;Great Balls Of Fire;Jerry Lee Lewis;1957.0;rs200;
./rs200/hallelujah.lab;Hallelujah;Jeff Buckley;1994.0;rs200;
./rs200/heartbreak_hotel.lab;Heartbreak Hotel;Elvis Presley;1956.0;rs200;
./rs200/help.lab;Help!;The Beatles;1965.0;rs200;
./rs200/heroes.lab;Heroes;David Bowie;1977.0;rs200;
./rs200/hey_jude.lab;Hey Jude;The Beatles;1968.0;rs200;
./rs200/honky_tonk_women.lab;Honky Tonk Women;The Rolling Stones;1969.0;rs200;
./rs200/hot_stuff.lab;Hot Stuff;Donna Summer;1979.0;rs200;
./rs200/hotel_california.lab;Hotel California;The Eagles;1976.0;rs200;
./rs200/hound_dog.lab;Hound Dog;Elvis Presley;1956.0;rs200;
./rs200/house_of_the_rising_sun.lab;House of the Rising Sun;The Animals;1964.0;rs200;
./rs200/i_believe_i_can_fly.lab;I Believe I Can Fly;R. Kelly;1996.0;rs200;
./rs200/i_cant_make_you_love_me.lab;I Can't Make You Love Me;Bonnie Raitt;1991.0;rs200;
./rs200/i_cant_stop_loving_you.lab;I Can't Stop Loving You;Ray Charles;1962.0;rs200;
./rs200/i_fought_the_law.lab;I Fought the Law;The Bobby Fuller Four;1966.0;rs200;
