filepath;song;artist;subset;album;video_id;start_diff;stop_diff;csr;purpose;audio_filepath
./data/chordlab/rs200/1999_dt.clt;1999;Prince;rs200;;weUhBGA8mxo;-0.13;30.93;0.43;;
./data/chordlab/rs200/a_change_is_gonna_come_dt.clt;A Change Is Gonna Come;Sam Cooke;rs200;;Z5zDRtEC0x0;0.65;-2.22;0.9;train;./data/audio/Z5zDRtEC0x0_A Change Is Gonna Come.webm
./data/chordlab/rs200/all_along_the_watchtower_dt.clt;All Along the Watchtower;The Jimi Hendrix Experience;rs200;;2klb9gOQqtc;-0.32;-1.02;0.49;train;./data/audio/2klb9gOQqtc_All Along the Watchtower.webm
./data/chordlab/rs200/all_apologies_dt.clt;All Apologies;Nirvana;rs200;;Ba_08WWIWV8;1.04;-1.1;0.98;train;./data/audio/Ba_08WWIWV8_All Apologies.webm
./data/chordlab/rs200/all_i_have_to_do_is_dream_dt.clt;All I Have to Do Is Dream;The Everly Brothers;rs200;;KHSqQwU3pls;-0.0;0.04;0.93;train;./data/audio/KHSqQwU3pls_All I Have to Do Is Dream.webm
./data/chordlab/rs200/anarchy_in_the_uk_dt.clt;Anarchy in the U.K.;Sex Pistols;rs200;;YJRnwaEUNkM;-0.13;-4.18;0.84;train;./data/audio/YJRnwaEUNkM_Anarchy In The UK.webm
./data/chordlab/rs200/back_in_black_dt.clt;Back in Black;AC/DC;rs200;;9vWNauaZAgg;-0.11;4.45;0.64;validate;./data/audio/9vWNauaZAgg_Back In Black.webm
./data/chordlab/rs200/be_my_baby_dt.clt;Be My Baby;The Ronettes;rs200;;--WTudU0vyc;2.42;-8.77;0.92;validate;./data/audio/--WTudU0vyc_Be My Baby.webm
./data/chordlab/rs200/be-bop-a-lula_dt.clt;Be-Bop-A-Lula;Gene Vincent;rs200;;QM0jfR9SMIk;0.34;-1.16;0.84;test;./data/audio/QM0jfR9SMIk_Be-Bop-a-Lula.webm
./data/chordlab/rs200/billie_jean_dt.clt;Billie Jean;Michael Jackson;rs200;;Kr4EQDVETuA;-18.57;8.26;0.01;;
./data/chordlab/rs200/bitter_sweet_symphony_dt.clt;Bitter Sweet Symphony;The Verve;rs200;;b7xGUtT26Uo;0.63;-1.07;0.71;train;./data/audio/b7xGUtT26Uo_Bitter Sweet Symphony.webm
./data/chordlab/rs200/bizarre_love_triangle_dt.clt;Bizarre Love Triangle;New Order;rs200;;PDCeGZ3n8jY;-0.36;2.14;0.71;train;./data/audio/PDCeGZ3n8jY_Bizarre Love Triangle (Extended Dance Mix).webm
./data/chordlab/rs200/blitzkrieg_bop_dt.clt;Blitzkrieg Bop;The Ramones;rs200;;8nYXTsbwsxA;-0.29;-0.65;0.51;train;./data/audio/8nYXTsbwsxA_Blitzkrieg Bop (2001 Remaster).webm
./data/chordlab/rs200/blowin_in_the_wind_dt.clt;Blowin' in the Wind;Bob Dylan;rs200;;fhvQ9ZKJAas;0.21;-2.46;0.78;train;./data/audio/fhvQ9ZKJAas_Blowin in the Wind.webm
./data/chordlab/rs200/blue_suede_shoes_dt.clt;Blue Suede Shoes;Carl Perkins;rs200;;oNi9nHC8OSU;-0.64;-2.42;0.89;validate;./data/audio/oNi9nHC8OSU_Blue Suede Shoes.webm
